All,الكل
Unable to place order. Please try again later.,غير قادر على انشاء الطلب. من فضلك، حاول مرة أخرى لاحقاً.
A server error stopped your order from being placed. Please try to place your order again.,A server error stopped your order from being placed. Please try to place your order again.
The transaction details are unavailable. Please try again later.,The transaction details are unavailable. Please try again later.
Authorize.Net Direct Post (Deprecated),Authorize.Net Direct Post (Deprecated)
Signature Key,Signature Key
There was an error while trying to process the request.,حدث خطأ اثناء معالجة الطلب.
This transaction cannot be refunded with its current status.,This transaction cannot be refunded with its current status.
The authenticity of the gateway response could not be verified.,The authenticity of the gateway response could not be verified.
Authorize.Net,Authorize.Net
Basic Authorize.Net Settings,Basic Authorize.Net Settings
Environment,البيئة
Public Client Key,Public Client Key
Merchant MD5 (deprecated),Merchant MD5 (deprecated)
Advanced Authorize.Net Settings,Advanced Authorize.Net Settings
Enable Credit Card Verification Field,Enable Credit Card Verification Field
Invalid request to gateway.,Invalid request to gateway.
Invalid gateway credentials.,Invalid gateway credentials.
Transaction has been declined. Please try again later.,تم رفض المعاملة. الرجاء المحاولة مرة أخرى لاحقاً.
options,الخيارات
Select all,إختيار الكل
Deselect all,إزالة كل الإختيارات
%s of %s selected,تم تحديد %s من %s
B2B Features,ميزات B2B
Invalid Form Key. Please refresh the page.,مفتاح النموذج غير صالح. الرجاء اعادة تنشيط الصفحة.
You entered an invalid Secret Key. Please refresh the page.,"قمت بإدخال ""مفتاح سر"" غيرصالح. الرجاء تحديث الصفحة."
Cache Storage Management,إدارة التخزين المؤقت
Flush Magento Cache,مسح ذاكرة التخزين المؤقت لماجنتو
The cache storage may contain additional data. Are you sure that you want to flush it?,ذاكرة التخزين المؤقت قد تحتوي على بيانات إضافية. هل أنت متأكد من أنك تريد مسحها؟
Flush Cache Storage,مسح ذاكرة التخزين المؤقت
Invalidated,إلغاء الصلاحية
Orders,طلبات الشراء
Amounts,المبالغ
Bestsellers,الأكثر مبيعاً
Most Viewed Products,المنتجات الأكثر مشاهدة
New Customers,عضو جديد
Customer,زبون
Guest,زائر
Items,المنتجات
Total,إجمالي
Lifetime Sales,مبيعات مدى الحياة
Average Order,متوسط الطلبات
Average,متوسط
Views,مشاهدات
Revenue,الإيرادات
Tax,الضريبة
Shipping,الشحن
"Images (.gif, .jpg, .png)","الصور (.gif,.jpg,.png)"
"Media (.avi, .flv, .swf)","الوسائط (.avi, .flv, .swf)"
All Files,كل الملفات
Reset to Default,إعادة ضبط للإعدادات الإفتراضية
All Store Views,واجهه جميع المواقع
What is this?,ما هذا؟
Save Account,حفظ الحساب
My Account,حسابي
Account Information,معلومات الحساب
User Name,اسم المستخدم
First Name,الإسم الأول
Last Name,اسم العائلة
Email,البريد الإلكتروني
User Email,البريد الإلكتروني للمستخدم
New Password,كلمة المرور الجديدة
Password Confirmation,تأكيد كلمة المرور
Interface Locale,لغة الواجهة
Current User Identity Verification,التحقق من هوية المستخدم الحالية
Your Password,كلمة المرور الخاصة بك
Save Cache Settings,حفظ إعدادات الذاكرة المؤقتة
Catalog Rewrites,Rewrites دليل المنتجات
Refresh,التحديث
Images Cache,ذاكرة التخزين المؤقت للصور
Clear,مسح
Search Index,فهرس البحث
Rebuild,إعادة بناء
Inventory Stock Status,حالة جرد المخزون
Rebuild Catalog Index,إعادة إنشاء فهرس دليل المنتجات
Rebuild Flat Catalog Category,إعادة إنشاء flat category لدليل المنتجات
Rebuild Flat Catalog Product,إعادة بناء  Flat Catalog Product
Cache Control,التحكم في التخزين المؤقت
All Cache,ذاكرة التخزين المؤقت
No change,لا يوجد تغيير
Disable,إبطال
Enable,تفعيل
Add Design Change,إضافة تغيير التصميم
Delete,احذف
Save,حفظ
Edit Design Change,تعديل تغيير التصميم
New Store Design Change,تغيير تصميم المتجر الجديد
General Settings,إعدادات عامة
-- Please Select --,--الرجاء الاختيار-
Custom Design,تصميم مخصص
Date From,التاريخ من
Date To,التاريخ إلى
Design Change,تغيير التصميم
General,عام
Delete %1 '%2',حذف %1 '%2'
Delete %1,حذف %1
Block Information,اغلاق المعلومات
Backup Options,خيارات النسخ الاحتياطي
Create DB Backup,إنشاء نسخة احتياطية لقاعدة البيانات
Delete Store,حذف متجر
Delete Web Site,حذف موقع الويب
Save Web Site,حفظ موقع الويب
Save Store,حفظ المتجر
Save Store View,حفظ عرض المتجر
Delete Store View,حذف عرض متجر
Edit Web Site,تعديل موقع الويب
New Web Site,موقع ويب جديد
Edit Store,تعديل متجر
New Store,متجر جديد
Edit Store View,تعديل عرض المتجر
New Store View,عرض متجر جديد
Store Information,بيانات المتجر
Web Site,موقع
Name,اسم
Code,رمز
Root Category,التصنيف الجذر
Default Store View,عرض المتجر الافتراضي
Store View Information,بيانات عرض المتجر
Disabled,غير مفعل
Web Site Information,بيانات الموقع
Default Store,المتجر الافتراضي
Set as Default,تعيين كافتراضي
Stores,محلات
Create Website,إنشاء موقع
Create Store,إنشاء متجر
Create Store View,إنشاء عرض متجر
Home,الصفحة الرئيسية
Are you sure you want to do this?,هل أنت متأكد أنك تريد فعل ذلك؟
Add New Image,اضف صورة جديدة
Export block for grid %1 is not defined,تصدير قائمة للشبكة %1 غير معرف
Reset Filter,ترشيح اعادة تعين
Search,بحث
Any,اي
All Countries,جميع الدول
From,من
To,إلى
Date selector,اختيار التاريخ
[ deleted ],[محذوف]
Select All,اختيار الكل
[deleted],[deleted]
We couldn't find any records.,لم يتم العثور على أي سجلات.
Add New,إضافة جديد
Invalid export type supplied for grid export block,Invalid export type supplied for grid export block
Export,استخراج
Please correct the column format and try again.,الرجاء تصحيح تنسيق العمود وحاول مرة أخرى.
Please select items.,يرجى تحديد الأصناف.
Submit,إرسال
Unknown block type,نوع block غير معروف
Please correct the tab configuration and try again. Tab Id should be not empty,الرجاء تصحيح اعدادات التبويب ثم حاول مرة أخرى. يجب أن يكون معرف علامة التبويب غير فارغ
Please correct the tab configuration and try again.,الرجاء تصحيح ضبط التبويب ثم حاول مرة أخرى.
You have logged out.,لقد سجلت خروجك.
Specified cache type(s) don't exist: %1,نوع ذاكرة التخزين المحددة غير موجودة: %1
The image cache was cleaned.,تم مسح ذاكرة تخزين الصور.
An error occurred while clearing the image cache.,حدث خطأ أثناء مسح ذاكرة تخزين الصور.
The JavaScript/CSS cache has been cleaned.,تم تنظيف ذاكرة تخزين JavaScript/CSS
An error occurred while clearing the JavaScript/CSS cache.,حدث خطأ أثناء مسح ذاكرة التخزين الخاصة ب JavaScript/CSS
The static files cache has been cleaned.,وقد تم تنظيف ذاكرة التخزين الخاصة بالملفات الثابتة.
